palabra_clave;rol;grupo;tipo_dato;idioma;prioridad;rol_motor_actual
pago_brutos;pago;dinero;numero;es;70;
pago_compras;pago;dinero;numero;es;70;
pago_cotizaciones;pago;dinero;numero;es;70;
pago_diarios;pago;dinero;numero;es;70;
pago_facturas;pago;dinero;numero;es;70;
pago_finales;pago;dinero;numero;es;70;
pago_iniciales;pago;dinero;numero;es;70;
pago_mensuales;pago;dinero;numero;es;70;
pago_netos;pago;dinero;numero;es;70;
pago_nota creditos;pago;dinero;numero;es;70;
pago_ordenes;pago;dinero;numero;es;70;
pago_pedidos;pago;dinero;numero;es;70;
pago_pendientes;pago;dinero;numero;es;70;
pago_promedios;pago;dinero;numero;es;70;
pago_totales;pago;dinero;numero;es;70;
pago_unitarios;pago;dinero;numero;es;70;
pago_ventas;pago;dinero;numero;es;70;
abn;pago;dinero;numero;es;60;
abono del acumulados;pago;dinero;numero;es;60;
abono del anuales;pago;dinero;numero;es;60;
abono del boletas;pago;dinero;numero;es;60;
abono del brutos;pago;dinero;numero;es;60;
abono del compras;pago;dinero;numero;es;60;
abono del cotizaciones;pago;dinero;numero;es;60;
abono del diarios;pago;dinero;numero;es;60;
abono del facturas;pago;dinero;numero;es;60;
abono del finales;pago;dinero;numero;es;60;
abono del iniciales;pago;dinero;numero;es;60;
abono del mensuales;pago;dinero;numero;es;60;
abono del netos;pago;dinero;numero;es;60;
abono del nota creditos;pago;dinero;numero;es;60;
abono del ordenes;pago;dinero;numero;es;60;
abono del pedidos;pago;dinero;numero;es;60;
abono del pendientes;pago;dinero;numero;es;60;
abono del promedios;pago;dinero;numero;es;60;
abono del totales;pago;dinero;numero;es;60;
abono del unitarios;pago;dinero;numero;es;60;
abono del ventas;pago;dinero;numero;es;60;
cuota del acumulados;pago;dinero;numero;es;60;
cuota del anuales;pago;dinero;numero;es;60;
cuota del boletas;pago;dinero;numero;es;60;
cuota del brutos;pago;dinero;numero;es;60;
cuota del compras;pago;dinero;numero;es;60;
cuota del cotizaciones;pago;dinero;numero;es;60;
cuota del diarios;pago;dinero;numero;es;60;
cuota del facturas;pago;dinero;numero;es;60;
cuota del finales;pago;dinero;numero;es;60;
cuota del iniciales;pago;dinero;numero;es;60;
cuota del mensuales;pago;dinero;numero;es;60;
cuota del netos;pago;dinero;numero;es;60;
cuota del nota creditos;pago;dinero;numero;es;60;
cuota del ordenes;pago;dinero;numero;es;60;
cuota del pedidos;pago;dinero;numero;es;60;
cuota del pendientes;pago;dinero;numero;es;60;
cuota del promedios;pago;dinero;numero;es;60;
cuota del totales;pago;dinero;numero;es;60;
cuota del unitarios;pago;dinero;numero;es;60;
cuota del ventas;pago;dinero;numero;es;60;
pago del acumulados;pago;dinero;numero;es;60;
pago del anuales;pago;dinero;numero;es;60;
pago del boletas;pago;dinero;numero;es;60;
pago del brutos;pago;dinero;numero;es;60;
pago del compras;pago;dinero;numero;es;60;
pago del cotizaciones;pago;dinero;numero;es;60;
pago del diarios;pago;dinero;numero;es;60;
pago del facturas;pago;dinero;numero;es;60;
pago del finales;pago;dinero;numero;es;60;
pago del iniciales;pago;dinero;numero;es;60;
pago del mensuales;pago;dinero;numero;es;60;
pago del netos;pago;dinero;numero;es;60;
pago del nota creditos;pago;dinero;numero;es;60;
pago del ordenes;pago;dinero;numero;es;60;
pago del pedidos;pago;dinero;numero;es;60;
pago del pendientes;pago;dinero;numero;es;60;
pago del promedios;pago;dinero;numero;es;60;
pago del totales;pago;dinero;numero;es;60;
pago del unitarios;pago;dinero;numero;es;60;
pago del ventas;pago;dinero;numero;es;60;
pgo;pago;dinero;numero;es;60;
abnes;pago;dinero;numero;es;50;
pgos;pago;dinero;numero;es;50;
arancel;precio_unitario;dinero;numero;es;100;
precio;precio_unitario;dinero;numero;es;100;
precio bruto;precio_unitario;dinero;numero;es;100;
precio compra;precio_unitario;dinero;numero;es;100;
precio costo;precio_unitario;dinero;numero;es;100;
precio final;precio_unitario;dinero;numero;es;100;
precio kg;precio_unitario;dinero;numero;es;100;
precio lista;precio_unitario;dinero;numero;es;100;
precio m2;precio_unitario;dinero;numero;es;100;
precio neto;precio_unitario;dinero;numero;es;100;
precio oferta;precio_unitario;dinero;numero;es;100;
precio por unidad;precio_unitario;dinero;numero;es;100;
precio publico;precio_unitario;dinero;numero;es;100;
precio unidad;precio_unitario;dinero;numero;es;100;
precio unitario;precio_unitario;dinero;numero;es;100;
precio venta;precio_unitario;dinero;numero;es;100;
tarifa;precio_unitario;dinero;numero;es;100;
tarifa hora;precio_unitario;dinero;numero;es;100;
valor unitario;precio_unitario;dinero;numero;es;100;
aranceles;precio_unitario;dinero;numero;es;90;
list price;precio_unitario;dinero;numero;en;90;
precio brutos;precio_unitario;dinero;numero;es;90;
precio compras;precio_unitario;dinero;numero;es;90;
precio costos;precio_unitario;dinero;numero;es;90;
precio finales;precio_unitario;dinero;numero;es;90;
precio listas;precio_unitario;dinero;numero;es;90;
precio netos;precio_unitario;dinero;numero;es;90;
precio ofertas;precio_unitario;dinero;numero;es;90;
precio por unidades;precio_unitario;dinero;numero;es;90;
precio publicos;precio_unitario;dinero;numero;es;90;
precio unidades;precio_unitario;dinero;numero;es;90;
precio unitarios;precio_unitario;dinero;numero;es;90;
precio ventas;precio_unitario;dinero;numero;es;90;
precios;precio_unitario;dinero;numero;es;90;
price;precio_unitario;dinero;numero;en;90;
rate;precio_unitario;dinero;numero;en;90;
selling price;precio_unitario;dinero;numero;en;90;
tarifa horas;precio_unitario;dinero;numero;es;90;
tarifas;precio_unitario;dinero;numero;es;90;
unit cost;precio_unitario;dinero;numero;en;90;
unit price;precio_unitario;dinero;numero;en;90;
valor unitarios;precio_unitario;dinero;numero;es;90;
precio_acumulado;precio_unitario;dinero;numero;es;80;
precio_anual;precio_unitario;dinero;numero;es;80;
precio_clp;precio_unitario;dinero;numero;es;80;
precio_con iva;precio_unitario;dinero;numero;es;80;
precio_convenio;precio_unitario;dinero;numero;es;80;
precio_detalle;precio_unitario;dinero;numero;es;80;
precio_diario;precio_unitario;dinero;numero;es;80;
precio_distribuidor;precio_unitario;dinero;numero;es;80;
precio_estimado;precio_unitario;dinero;numero;es;80;
precio_facturado;precio_unitario;dinero;numero;es;80;
precio_inicial;precio_unitario;dinero;numero;es;80;
precio_maximo;precio_unitario;dinero;numero;es;80;
precio_mayorista;precio_unitario;dinero;numero;es;80;
precio_mensual;precio_unitario;dinero;numero;es;80;
precio_mercado;precio_unitario;dinero;numero;es;80;
precio_minimo;precio_unitario;dinero;numero;es;80;
precio_minorista;precio_unitario;dinero;numero;es;80;
precio_pagado;precio_unitario;dinero;numero;es;80;
precio_pendiente;precio_unitario;dinero;numero;es;80;
precio_promedio;precio_unitario;dinero;numero;es;80;
precio_promocion;precio_unitario;dinero;numero;es;80;
precio_real;precio_unitario;dinero;numero;es;80;
precio_referencia;precio_unitario;dinero;numero;es;80;
precio_sin iva;precio_unitario;dinero;numero;es;80;
precio_total;precio_unitario;dinero;numero;es;80;
precio_uf;precio_unitario;dinero;numero;es;80;
precio_usd;precio_unitario;dinero;numero;es;80;
tarifa_acumulado;precio_unitario;dinero;numero;es;80;
tarifa_anual;precio_unitario;dinero;numero;es;80;
tarifa_bruto;precio_unitario;dinero;numero;es;80;
tarifa_clp;precio_unitario;dinero;numero;es;80;
tarifa_con iva;precio_unitario;dinero;numero;es;80;
tarifa_convenio;precio_unitario;dinero;numero;es;80;
tarifa_detalle;precio_unitario;dinero;numero;es;80;
tarifa_diario;precio_unitario;dinero;numero;es;80;
tarifa_distribuidor;precio_unitario;dinero;numero;es;80;
tarifa_estimado;precio_unitario;dinero;numero;es;80;
tarifa_facturado;precio_unitario;dinero;numero;es;80;
tarifa_final;precio_unitario;dinero;numero;es;80;
tarifa_inicial;precio_unitario;dinero;numero;es;80;
tarifa_maximo;precio_unitario;dinero;numero;es;80;
tarifa_mayorista;precio_unitario;dinero;numero;es;80;
tarifa_mensual;precio_unitario;dinero;numero;es;80;
tarifa_mercado;precio_unitario;dinero;numero;es;80;
tarifa_minimo;precio_unitario;dinero;numero;es;80;
tarifa_minorista;precio_unitario;dinero;numero;es;80;
tarifa_neto;precio_unitario;dinero;numero;es;80;
tarifa_pagado;precio_unitario;dinero;numero;es;80;
tarifa_pendiente;precio_unitario;dinero;numero;es;80;
tarifa_promedio;precio_unitario;dinero;numero;es;80;
tarifa_promocion;precio_unitario;dinero;numero;es;80;
tarifa_real;precio_unitario;dinero;numero;es;80;
tarifa_referencia;precio_unitario;dinero;numero;es;80;
tarifa_sin iva;precio_unitario;dinero;numero;es;80;
tarifa_total;precio_unitario;dinero;numero;es;80;
tarifa_uf;precio_unitario;dinero;numero;es;80;
tarifa_unitario;precio_unitario;dinero;numero;es;80;
tarifa_usd;precio_unitario;dinero;numero;es;80;
base price;precio_unitario;dinero;numero;en;70;
list price amount;precio_unitario;dinero;numero;en;70;
precio_acumulados;precio_unitario;dinero;numero;es;70;
precio_anuales;precio_unitario;dinero;numero;es;70;
precio_con ivas;precio_unitario;dinero;numero;es;70;
precio_convenios;precio_unitario;dinero;numero;es;70;
precio_detalles;precio_unitario;dinero;numero;es;70;
precio_diarios;precio_unitario;dinero;numero;es;70;
precio_distribuidores;precio_unitario;dinero;numero;es;70;
precio_estimados;precio_unitario;dinero;numero;es;70;
precio_facturados;precio_unitario;dinero;numero;es;70;
precio_iniciales;precio_unitario;dinero;numero;es;70;
precio_maximos;precio_unitario;dinero;numero;es;70;
precio_mayoristas;precio_unitario;dinero;numero;es;70;
precio_mensuales;precio_unitario;dinero;numero;es;70;
precio_mercados;precio_unitario;dinero;numero;es;70;
precio_minimos;precio_unitario;dinero;numero;es;70;
precio_minoristas;precio_unitario;dinero;numero;es;70;
precio_pagados;precio_unitario;dinero;numero;es;70;
precio_pendientes;precio_unitario;dinero;numero;es;70;
precio_promedios;precio_unitario;dinero;numero;es;70;
precio_promociones;precio_unitario;dinero;numero;es;70;
precio_reales;precio_unitario;dinero;numero;es;70;
precio_referencias;precio_unitario;dinero;numero;es;70;
precio_sin ivas;precio_unitario;dinero;numero;es;70;
precio_totales;precio_unitario;dinero;numero;es;70;
precio_usdes;precio_unitario;dinero;numero;es;70;
price each;precio_unitario;dinero;numero;en;70;
price per unit;precio_unitario;dinero;numero;en;70;
retail price;precio_unitario;dinero;numero;en;70;
sale price;precio_unitario;dinero;numero;en;70;
tarifa_acumulados;precio_unitario;dinero;numero;es;70;
tarifa_anuales;precio_unitario;dinero;numero;es;70;
tarifa_brutos;precio_unitario;dinero;numero;es;70;
tarifa_con ivas;precio_unitario;dinero;numero;es;70;
tarifa_convenios;precio_unitario;dinero;numero;es;70;
tarifa_detalles;precio_unitario;dinero;numero;es;70;
tarifa_diarios;precio_unitario;dinero;numero;es;70;
tarifa_distribuidores;precio_unitario;dinero;numero;es;70;
tarifa_estimados;precio_unitario;dinero;numero;es;70;
tarifa_facturados;precio_unitario;dinero;numero;es;70;
tarifa_finales;precio_unitario;dinero;numero;es;70;
tarifa_iniciales;precio_unitario;dinero;numero;es;70;
tarifa_maximos;precio_unitario;dinero;numero;es;70;
tarifa_mayoristas;precio_unitario;dinero;numero;es;70;
tarifa_mensuales;precio_unitario;dinero;numero;es;70;
tarifa_mercados;precio_unitario;dinero;numero;es;70;
tarifa_minimos;precio_unitario;dinero;numero;es;70;
tarifa_minoristas;precio_unitario;dinero;numero;es;70;
tarifa_netos;precio_unitario;dinero;numero;es;70;
tarifa_pagados;precio_unitario;dinero;numero;es;70;
tarifa_pendientes;precio_unitario;dinero;numero;es;70;
tarifa_promedios;precio_unitario;dinero;numero;es;70;
tarifa_promociones;precio_unitario;dinero;numero;es;70;
tarifa_reales;precio_unitario;dinero;numero;es;70;
tarifa_referencias;precio_unitario;dinero;numero;es;70;
tarifa_sin ivas;precio_unitario;dinero;numero;es;70;
tarifa_totales;precio_unitario;dinero;numero;es;70;
tarifa_unitarios;precio_unitario;dinero;numero;es;70;
tarifa_usdes;precio_unitario;dinero;numero;es;70;
unit price amount;precio_unitario;dinero;numero;en;70;
wholesale price;precio_unitario;dinero;numero;en;70;
p unitario;precio_unitario;dinero;numero;es;60;
prec unit;precio_unitario;dinero;numero;es;60;
pu;precio_unitario;dinero;numero;es;60;
vu;precio_unitario;dinero;numero;es;60;
p unitarios;precio_unitario;dinero;numero;es;50;
pus;precio_unitario;dinero;numero;es;50;
vus;precio_unitario;dinero;numero;es;50;
budget;presupuesto;dinero;numero;es;100;
cuota venta;presupuesto;dinero;numero;es;100;
estimacion;presupuesto;dinero;numero;es;100;
forecast;presupuesto;dinero;numero;es;100;
meta;presupuesto;dinero;numero;es;100;
meta anual;presupuesto;dinero;numero;es;100;
meta mensual;presupuesto;dinero;numero;es;100;
meta venta;presupuesto;dinero;numero;es;100;
monto estimado;presupuesto;dinero;numero;es;100;
monto presupuestado;presupuesto;dinero;numero;es;100;
objetivo venta;presupuesto;dinero;numero;es;100;
plan venta;presupuesto;dinero;numero;es;100;
presupuestado;presupuesto;dinero;numero;es;100;
presupuesto;presupuesto;dinero;numero;es;100;
presupuesto anual;presupuesto;dinero;numero;es;100;
presupuesto mensual;presupuesto;dinero;numero;es;100;
proyeccion;presupuesto;dinero;numero;es;100;
proyectado;presupuesto;dinero;numero;es;100;
target;presupuesto;dinero;numero;es;100;
budget amount;presupuesto;dinero;numero;en;90;
cuota ventas;presupuesto;dinero;numero;es;90;
estimaciones;presupuesto;dinero;numero;es;90;
forecast amount;presupuesto;dinero;numero;en;90;
goal;presupuesto;dinero;numero;en;90;
meta anuales;presupuesto;dinero;numero;es;90;
meta mensuales;presupuesto;dinero;numero;es;90;
meta ventas;presupuesto;dinero;numero;es;90;
metas;presupuesto;dinero;numero;es;90;
monto estimados;presupuesto;dinero;numero;es;90;
monto presupuestados;presupuesto;dinero;numero;es;90;
objetivo ventas;presupuesto;dinero;numero;es;90;
plan ventas;presupuesto;dinero;numero;es;90;
planned;presupuesto;dinero;numero;en;90;
presupuestados;presupuesto;dinero;numero;es;90;
presupuesto anuales;presupuesto;dinero;numero;es;90;
presupuesto mensuales;presupuesto;dinero;numero;es;90;
presupuestos;presupuesto;dinero;numero;es;90;
proyecciones;presupuesto;dinero;numero;es;90;
proyectados;presupuesto;dinero;numero;es;90;
meta de acumulado;presupuesto;dinero;numero;es;80;
meta de anual;presupuesto;dinero;numero;es;80;
meta de area;presupuesto;dinero;numero;es;80;
meta de bruto;presupuesto;dinero;numero;es;80;
meta de diario;presupuesto;dinero;numero;es;80;
meta de equipo;presupuesto;dinero;numero;es;80;
meta de final;presupuesto;dinero;numero;es;80;
meta de inicial;presupuesto;dinero;numero;es;80;
meta de mensual;presupuesto;dinero;numero;es;80;
meta de neto;presupuesto;dinero;numero;es;80;
meta de pendiente;presupuesto;dinero;numero;es;80;
meta de promedio;presupuesto;dinero;numero;es;80;
meta de region;presupuesto;dinero;numero;es;80;
meta de sucursal;presupuesto;dinero;numero;es;80;
meta de total;presupuesto;dinero;numero;es;80;
meta de unitario;presupuesto;dinero;numero;es;80;
meta de vendedor;presupuesto;dinero;numero;es;80;
meta_acumulado;presupuesto;dinero;numero;es;80;
meta_area;presupuesto;dinero;numero;es;80;
meta_bruto;presupuesto;dinero;numero;es;80;
meta_diario;presupuesto;dinero;numero;es;80;
meta_equipo;presupuesto;dinero;numero;es;80;
meta_final;presupuesto;dinero;numero;es;80;
meta_inicial;presupuesto;dinero;numero;es;80;
meta_neto;presupuesto;dinero;numero;es;80;
meta_pendiente;presupuesto;dinero;numero;es;80;
meta_promedio;presupuesto;dinero;numero;es;80;
meta_region;presupuesto;dinero;numero;es;80;
meta_sucursal;presupuesto;dinero;numero;es;80;
meta_total;presupuesto;dinero;numero;es;80;
meta_unitario;presupuesto;dinero;numero;es;80;
meta_vendedor;presupuesto;dinero;numero;es;80;
presupuesto de acumulado;presupuesto;dinero;numero;es;80;
presupuesto de anual;presupuesto;dinero;numero;es;80;
presupuesto de area;presupuesto;dinero;numero;es;80;
presupuesto de bruto;presupuesto;dinero;numero;es;80;
presupuesto de diario;presupuesto;dinero;numero;es;80;
presupuesto de equipo;presupuesto;dinero;numero;es;80;
presupuesto de final;presupuesto;dinero;numero;es;80;
presupuesto de inicial;presupuesto;dinero;numero;es;80;
presupuesto de mensual;presupuesto;dinero;numero;es;80;
presupuesto de neto;presupuesto;dinero;numero;es;80;
presupuesto de pendiente;presupuesto;dinero;numero;es;80;
presupuesto de promedio;presupuesto;dinero;numero;es;80;
presupuesto de region;presupuesto;dinero;numero;es;80;
presupuesto de sucursal;presupuesto;dinero;numero;es;80;
presupuesto de total;presupuesto;dinero;numero;es;80;
presupuesto de unitario;presupuesto;dinero;numero;es;80;
presupuesto de vendedor;presupuesto;dinero;numero;es;80;
presupuesto_acumulado;presupuesto;dinero;numero;es;80;
presupuesto_area;presupuesto;dinero;numero;es;80;
presupuesto_bruto;presupuesto;dinero;numero;es;80;
presupuesto_diario;presupuesto;dinero;numero;es;80;
presupuesto_equipo;presupuesto;dinero;numero;es;80;
presupuesto_final;presupuesto;dinero;numero;es;80;
presupuesto_inicial;presupuesto;dinero;numero;es;80;
presupuesto_neto;presupuesto;dinero;numero;es;80;
presupuesto_pendiente;presupuesto;dinero;numero;es;80;
presupuesto_promedio;presupuesto;dinero;numero;es;80;
presupuesto_region;presupuesto;dinero;numero;es;80;
presupuesto_sucursal;presupuesto;dinero;numero;es;80;
presupuesto_total;presupuesto;dinero;numero;es;80;
presupuesto_unitario;presupuesto;dinero;numero;es;80;
presupuesto_vendedor;presupuesto;dinero;numero;es;80;
proyeccion de acumulado;presupuesto;dinero;numero;es;80;
proyeccion de anual;presupuesto;dinero;numero;es;80;
proyeccion de area;presupuesto;dinero;numero;es;80;
proyeccion de bruto;presupuesto;dinero;numero;es;80;
proyeccion de diario;presupuesto;dinero;numero;es;80;
proyeccion de equipo;presupuesto;dinero;numero;es;80;
proyeccion de final;presupuesto;dinero;numero;es;80;
proyeccion de inicial;presupuesto;dinero;numero;es;80;
proyeccion de mensual;presupuesto;dinero;numero;es;80;
proyeccion de neto;presupuesto;dinero;numero;es;80;
proyeccion de pendiente;presupuesto;dinero;numero;es;80;
proyeccion de promedio;presupuesto;dinero;numero;es;80;
proyeccion de region;presupuesto;dinero;numero;es;80;
proyeccion de sucursal;presupuesto;dinero;numero;es;80;
proyeccion de total;presupuesto;dinero;numero;es;80;
proyeccion de unitario;presupuesto;dinero;numero;es;80;
proyeccion de vendedor;presupuesto;dinero;numero;es;80;
proyeccion_acumulado;presupuesto;dinero;numero;es;80;
proyeccion_anual;presupuesto;dinero;numero;es;80;
proyeccion_area;presupuesto;dinero;numero;es;80;
proyeccion_bruto;presupuesto;dinero;numero;es;80;
proyeccion_diario;presupuesto;dinero;numero;es;80;
proyeccion_equipo;presupuesto;dinero;numero;es;80;
proyeccion_final;presupuesto;dinero;numero;es;80;
proyeccion_inicial;presupuesto;dinero;numero;es;80;
proyeccion_mensual;presupuesto;dinero;numero;es;80;
proyeccion_neto;presupuesto;dinero;numero;es;80;
proyeccion_pendiente;presupuesto;dinero;numero;es;80;
proyeccion_promedio;presupuesto;dinero;numero;es;80;
proyeccion_region;presupuesto;dinero;numero;es;80;
proyeccion_sucursal;presupuesto;dinero;numero;es;80;
proyeccion_total;presupuesto;dinero;numero;es;80;
proyeccion_unitario;presupuesto;dinero;numero;es;80;
proyeccion_vendedor;presupuesto;dinero;numero;es;80;
meta de acumulados;presupuesto;dinero;numero;es;70;
meta de anuales;presupuesto;dinero;numero;es;70;
meta de areas;presupuesto;dinero;numero;es;70;
meta de brutos;presupuesto;dinero;numero;es;70;
meta de diarios;presupuesto;dinero;numero;es;70;
meta de equipos;presupuesto;dinero;numero;es;70;
meta de finales;presupuesto;dinero;numero;es;70;
meta de iniciales;presupuesto;dinero;numero;es;70;
meta de mensuales;presupuesto;dinero;numero;es;70;
meta de netos;presupuesto;dinero;numero;es;70;
meta de pendientes;presupuesto;dinero;numero;es;70;
meta de promedios;presupuesto;dinero;numero;es;70;
meta de regiones;presupuesto;dinero;numero;es;70;
meta de sucursales;presupuesto;dinero;numero;es;70;
meta de totales;presupuesto;dinero;numero;es;70;
meta de unitarios;presupuesto;dinero;numero;es;70;
meta de vendedores;presupuesto;dinero;numero;es;70;
meta del acumulado;presupuesto;dinero;numero;es;70;
meta del anual;presupuesto;dinero;numero;es;70;
meta del area;presupuesto;dinero;numero;es;70;
meta del bruto;presupuesto;dinero;numero;es;70;
meta del diario;presupuesto;dinero;numero;es;70;
meta del equipo;presupuesto;dinero;numero;es;70;
meta del final;presupuesto;dinero;numero;es;70;
meta del inicial;presupuesto;dinero;numero;es;70;
meta del mensual;presupuesto;dinero;numero;es;70;
meta del neto;presupuesto;dinero;numero;es;70;
meta del pendiente;presupuesto;dinero;numero;es;70;
meta del promedio;presupuesto;dinero;numero;es;70;
meta del region;presupuesto;dinero;numero;es;70;
meta del sucursal;presupuesto;dinero;numero;es;70;
meta del total;presupuesto;dinero;numero;es;70;
meta del unitario;presupuesto;dinero;numero;es;70;
meta del vendedor;presupuesto;dinero;numero;es;70;
meta_acumulados;presupuesto;dinero;numero;es;70;
meta_areas;presupuesto;dinero;numero;es;70;
meta_brutos;presupuesto;dinero;numero;es;70;
meta_diarios;presupuesto;dinero;numero;es;70;
meta_equipos;presupuesto;dinero;numero;es;70;
meta_finales;presupuesto;dinero;numero;es;70;
meta_iniciales;presupuesto;dinero;numero;es;70;
meta_netos;presupuesto;dinero;numero;es;70;
meta_pendientes;presupuesto;dinero;numero;es;70;
meta_promedios;presupuesto;dinero;numero;es;70;
meta_regiones;presupuesto;dinero;numero;es;70;
meta_sucursales;presupuesto;dinero;numero;es;70;
meta_totales;presupuesto;dinero;numero;es;70;
meta_unitarios;presupuesto;dinero;numero;es;70;
meta_vendedores;presupuesto;dinero;numero;es;70;
presupuesto de acumulados;presupuesto;dinero;numero;es;70;
presupuesto de anuales;presupuesto;dinero;numero;es;70;
presupuesto de areas;presupuesto;dinero;numero;es;70;
presupuesto de brutos;presupuesto;dinero;numero;es;70;
presupuesto de diarios;presupuesto;dinero;numero;es;70;
presupuesto de equipos;presupuesto;dinero;numero;es;70;
presupuesto de finales;presupuesto;dinero;numero;es;70;
presupuesto de iniciales;presupuesto;dinero;numero;es;70;
presupuesto de mensuales;presupuesto;dinero;numero;es;70;
presupuesto de netos;presupuesto;dinero;numero;es;70;
presupuesto de pendientes;presupuesto;dinero;numero;es;70;
presupuesto de promedios;presupuesto;dinero;numero;es;70;
presupuesto de regiones;presupuesto;dinero;numero;es;70;
presupuesto de sucursales;presupuesto;dinero;numero;es;70;
presupuesto de totales;presupuesto;dinero;numero;es;70;
presupuesto de unitarios;presupuesto;dinero;numero;es;70;
presupuesto de vendedores;presupuesto;dinero;numero;es;70;
presupuesto del acumulado;presupuesto;dinero;numero;es;70;
presupuesto del anual;presupuesto;dinero;numero;es;70;
presupuesto del area;presupuesto;dinero;numero;es;70;
presupuesto del bruto;presupuesto;dinero;numero;es;70;
presupuesto del diario;presupuesto;dinero;numero;es;70;
presupuesto del equipo;presupuesto;dinero;numero;es;70;
presupuesto del final;presupuesto;dinero;numero;es;70;
presupuesto del inicial;presupuesto;dinero;numero;es;70;
presupuesto del mensual;presupuesto;dinero;numero;es;70;
presupuesto del neto;presupuesto;dinero;numero;es;70;
presupuesto del pendiente;presupuesto;dinero;numero;es;70;
presupuesto del promedio;presupuesto;dinero;numero;es;70;
presupuesto del region;presupuesto;dinero;numero;es;70;
presupuesto del sucursal;presupuesto;dinero;numero;es;70;
presupuesto del total;presupuesto;dinero;numero;es;70;
presupuesto del unitario;presupuesto;dinero;numero;es;70;
presupuesto del vendedor;presupuesto;dinero;numero;es;70;
presupuesto_acumulados;presupuesto;dinero;numero;es;70;
presupuesto_areas;presupuesto;dinero;numero;es;70;
presupuesto_brutos;presupuesto;dinero;numero;es;70;
presupuesto_diarios;presupuesto;dinero;numero;es;70;
presupuesto_equipos;presupuesto;dinero;numero;es;70;
presupuesto_finales;presupuesto;dinero;numero;es;70;
presupuesto_iniciales;presupuesto;dinero;numero;es;70;
presupuesto_netos;presupuesto;dinero;numero;es;70;
presupuesto_pendientes;presupuesto;dinero;numero;es;70;
presupuesto_promedios;presupuesto;dinero;numero;es;70;
presupuesto_regiones;presupuesto;dinero;numero;es;70;
presupuesto_sucursales;presupuesto;dinero;numero;es;70;
presupuesto_totales;presupuesto;dinero;numero;es;70;
presupuesto_unitarios;presupuesto;dinero;numero;es;70;
presupuesto_vendedores;presupuesto;dinero;numero;es;70;
proyeccion de acumulados;presupuesto;dinero;numero;es;70;
proyeccion de anuales;presupuesto;dinero;numero;es;70;
proyeccion de areas;presupuesto;dinero;numero;es;70;
proyeccion de brutos;presupuesto;dinero;numero;es;70;
proyeccion de diarios;presupuesto;dinero;numero;es;70;
proyeccion de equipos;presupuesto;dinero;numero;es;70;
proyeccion de finales;presupuesto;dinero;numero;es;70;
proyeccion de iniciales;presupuesto;dinero;numero;es;70;
proyeccion de mensuales;presupuesto;dinero;numero;es;70;
proyeccion de netos;presupuesto;dinero;numero;es;70;
proyeccion de pendientes;presupuesto;dinero;numero;es;70;
proyeccion de promedios;presupuesto;dinero;numero;es;70;
proyeccion de regiones;presupuesto;dinero;numero;es;70;
proyeccion de sucursales;presupuesto;dinero;numero;es;70;
proyeccion de totales;presupuesto;dinero;numero;es;70;
proyeccion de unitarios;presupuesto;dinero;numero;es;70;
proyeccion de vendedores;presupuesto;dinero;numero;es;70;
proyeccion del acumulado;presupuesto;dinero;numero;es;70;
proyeccion del anual;presupuesto;dinero;numero;es;70;
proyeccion del area;presupuesto;dinero;numero;es;70;
proyeccion del bruto;presupuesto;dinero;numero;es;70;
proyeccion del diario;presupuesto;dinero;numero;es;70;
proyeccion del equipo;presupuesto;dinero;numero;es;70;
proyeccion del final;presupuesto;dinero;numero;es;70;
proyeccion del inicial;presupuesto;dinero;numero;es;70;
proyeccion del mensual;presupuesto;dinero;numero;es;70;
proyeccion del neto;presupuesto;dinero;numero;es;70;
proyeccion del pendiente;presupuesto;dinero;numero;es;70;
proyeccion del promedio;presupuesto;dinero;numero;es;70;
proyeccion del region;presupuesto;dinero;numero;es;70;
proyeccion del sucursal;presupuesto;dinero;numero;es;70;
proyeccion del total;presupuesto;dinero;numero;es;70;
proyeccion del unitario;presupuesto;dinero;numero;es;70;
proyeccion del vendedor;presupuesto;dinero;numero;es;70;
proyeccion_acumulados;presupuesto;dinero;numero;es;70;
proyeccion_anuales;presupuesto;dinero;numero;es;70;
proyeccion_areas;presupuesto;dinero;numero;es;70;
proyeccion_brutos;presupuesto;dinero;numero;es;70;
proyeccion_diarios;presupuesto;dinero;numero;es;70;
proyeccion_equipos;presupuesto;dinero;numero;es;70;
proyeccion_finales;presupuesto;dinero;numero;es;70;
proyeccion_iniciales;presupuesto;dinero;numero;es;70;
proyeccion_mensuales;presupuesto;dinero;numero;es;70;
proyeccion_netos;presupuesto;dinero;numero;es;70;
proyeccion_pendientes;presupuesto;dinero;numero;es;70;
proyeccion_promedios;presupuesto;dinero;numero;es;70;
proyeccion_regiones;presupuesto;dinero;numero;es;70;
proyeccion_sucursales;presupuesto;dinero;numero;es;70;
proyeccion_totales;presupuesto;dinero;numero;es;70;
proyeccion_unitarios;presupuesto;dinero;numero;es;70;
proyeccion_vendedores;presupuesto;dinero;numero;es;70;
meta del acumulados;presupuesto;dinero;numero;es;60;
meta del anuales;presupuesto;dinero;numero;es;60;
meta del areas;presupuesto;dinero;numero;es;60;
meta del brutos;presupuesto;dinero;numero;es;60;
meta del diarios;presupuesto;dinero;numero;es;60;
meta del equipos;presupuesto;dinero;numero;es;60;
meta del finales;presupuesto;dinero;numero;es;60;
